id,phi0,epsr,epsv,thetaf,ra,rp,dt1,dt2,x_ra,x_rp,tof,m0,lfb
19,1.1309733552923256,1.0e-6,1.0e-6,6.157521601035994,0.22249687793930145,3.2862801169499845,11.96099999999881,7.3660000000018275,"[390.7235375709419, -2.6671134876914855, 8.120752300400583e-22, 0.028952751640411306, 0.020488819546368643, -4.358080755342032e-24, 1.0]","[388.61326789789956, 0.07907605901942832, -7.862292686467313e-23, -0.8687291946818714, -2.7587222866402388, -4.332830966619902e-22, 1.0]",19.327000000000638,1.0,0
20,1.2566370614359172,1.0e-6,1.0e-6,0.0,0.002833090067255682,3.9337204291093175,14.423999999997445,10.496000000010028,"[391.9000540497524, -2.4678500490107944, 1.7101242376632553e-21, -0.10347932058627686, -0.12920619623179266, -1.947189918320847e-22, 1.0]","[388.8218555841001, 0.002765104532626811, 1.3941404414776226e-23, -2.1854605339685484, -6.865276174820031, 5.943904382743727e-21, 1.0]",24.920000000007473,1.0,0
21,1.382300767579509,1.0e-6,1.0e-6,0.2513274122871834,0.20355198703582858,3.4995846343472183,11.644999999998985,7.755000000001742,"[390.2642120250009, -3.1762653361852675, -2.852206889646311e-22, 0.005517761843493292, 0.002448384390185231, -7.381295371394812e-22, 1.0]","[388.65248888901846, 0.11382849585300696, -6.606294732815607e-24, -1.5357134054828405, -2.5784412467672184, 1.099459016347995e-20, 1.0]",19.400000000000727,1.0,0
22,1.5079644737231006,1.0e-6,1.0e-6,1.5079644737231006,0.03697548629028707,3.8533772794823893,14.753999999997262,8.492000000008165,"[387.2752908943471, 3.5278420031747526, 1.6116943711162502e-20, 0.060203909227045695, 0.026224428485351763, 1.2308228848841267e-22, 1.0]","[388.84990129340986, -0.023358938123336323, -1.9087350508172484e-22, 4.168770435775019, 4.753010577038494, -4.390873290784367e-20, 1.0]",23.246000000005427,1.0,2
23,1.5079644737231006,1.0e-6,1.0e-6,4.649557127312893,0.0560729763577935,3.859962436166945,14.785999999997244,8.52300000000826,"[390.2630717778858, -3.578753224423246, 1.6110942225432068e-20, -0.05590268942081725, -0.02238589050051467, 1.9522916680940428e-22, 1.0]","[388.77657926507425, 0.03390747982651526, -2.905146628788178e-22, -3.474498626565526, -4.078115534658693, -3.2794874725165215e-20, 1.0]",23.309000000005504,1.0,2
24,1.6336281798666925,1.0e-6,1.0e-6,0.2513274122871834,0.134060055966787,4.621534078941963,14.549999999997375,11.674000000011691,"[390.9078726902415, -4.137256083981042, -4.5084800625193206e-20, -0.19556420808725405, -0.09867943576924128, -1.4963848948721472e-21, 1.0]","[388.70226708905255, 0.061788867016102735, 1.3017963476809986e-21, 1.4876630509156485, 3.39372790329297, 9.857708587988707e-20, 1.0]",26.224000000009067,1.0,0
25,1.6336281798666925,1.0e-6,1.0e-6,3.392920065876976,0.07590058733756162,4.551636837387581,14.292999999997518,10.955000000010356,"[386.89337988035714, 4.136265637249957, -4.4482400977924057e-20, 0.17779922603772386, 0.08277527246647892, -1.4972644341585962e-21, 1.0]","[388.881137499228, -0.04661574979779964, 7.328871731831177e-22, -2.621681801172997, -4.58831247221597, 1.843749522168417e-19, 1.0]",25.248000000007874,1.0,0
26,2.0106192982974673,1.0e-6,1.0e-6,0.0,0.0791211217103964,4.0847547595274,13.612999999997895,9.076000000006852,"[390.0031805649663, -3.914012885259832, 1.206480281321167e-22, -0.07373152336370385, -0.02207720502114784, 3.179738177481308e-23, 1.0]","[388.75656894627144, 0.0455848672490467, -1.4951001632218917e-24, -3.310691862849989, -3.6091483665525406, -1.5926075884559534e-21, 1.0]",22.689000000004746,1.0,0
27,2.0106192982974673,1.0e-6,1.0e-6,2.764601535159018,0.06764867469253935,4.006774463194614,15.898999999996628,11.683000000014099,"[385.42928515622066, 2.1409720498501232, 1.4430195716848326e-22, 0.10501172890101523, 0.16744638140192133, 3.6138453143807224e-23, 1.0]","[388.7595862352908, 0.027844601017575472, 4.5583898231509707e-23, 0.5589262781996476, 1.3043781970583388, 1.3460027577782255e-21, 1.0]",27.582000000010726,1.0,0
28,2.0106192982974673,1.0e-6,1.0e-6,2.8902652413026098,0.10847489122306021,3.855886039378112,14.18199999999758,9.666000000008584,"[386.05889412497663, 2.705711117980919, 1.919739693781913e-22, 0.09731065521995864, 0.09910229100331544, 3.23408685455349e-23, 1.0]","[388.7324414489291, 0.062304554107308126, 4.525337416051134e-23, 0.43537187619226947, 0.7699729536879337, 9.265993812283121e-22, 1.0]",23.848000000006163,1.0,0
