This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1092
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       78
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       75
                     variables with only upper bounds:        0
Total number of equality constraints.................:       14
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  64  1.0000000e+00 2.75e+00 4.21e+05  -1.4 1.76e+00    -  7.63e-01 7.71e-01h  1
  65  1.0000000e+00 1.47e+00 1.39e+04  -1.4 3.83e+00    -  4.98e-01 4.84e-01h  1
  66  1.0000000e+00 1.46e+00 1.45e+04  -1.4 7.23e+00    -  2.67e-01 2.94e-02h  1
  67  1.0000000e+00 1.46e+00 1.48e+04  -1.4 1.70e+01    -  5.03e-02 4.63e-03h  2
  68  1.0000000e+00 1.46e+00 2.15e+04  -1.4 1.59e+01    -  1.57e-01 9.29e-03h  1
  69  1.0000000e+00 1.47e+00 6.28e+03  -1.4 1.59e+01    -  4.41e-02 5.33e-03h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.0000000e+00 1.48e+00 1.14e+05  -1.4 6.73e+00    -  4.34e-02 1.52e-02h  2
  71  1.0000000e+00 1.49e+00 5.04e+05  -1.4 7.82e+00    -  6.00e-01 2.39e-02h  2
  72  1.0000000e+00 1.49e+00 4.24e+05  -1.4 4.24e+01    -  7.13e-02 8.51e-04H  1
  73  1.0000000e+00 1.49e+00 4.28e+05  -1.4 2.20e+01    -  4.62e-03 1.89e-04h  1
  74  1.0000000e+00 1.49e+00 5.92e+05  -1.4 4.76e+01    -  4.06e-04 1.28e-04h  1
  75  1.0000000e+00 1.49e+00 2.34e+06  -1.4 4.36e+01    -  5.50e-06 6.96e-04h  1
  76  1.0000000e+00 1.49e+00 6.75e+07  -1.4 1.97e+02    -  6.20e-05 2.21e-03f  1
  77  1.0000000e+00 1.33e+00 1.20e+08  -1.4 3.36e+00    -  4.38e-01 9.05e-02f  3
  78  1.0000000e+00 1.33e+00 1.72e+08  -1.4 2.13e+01    -  1.67e-01 4.49e-04h  1
  79  1.0000000e+00 1.34e+00 7.94e+10  -1.4 2.58e+01    -  2.03e-01 3.56e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.0000000e+00 1.29e+00 5.50e+12  -1.4 6.38e+00    -  1.44e-03 5.27e-02f  4
  81  1.0000000e+00 1.28e+00 1.09e+11  -1.4 1.01e+01    -  8.48e-02 1.11e-02h  3
  82  1.0000000e+00 1.26e+00 6.23e+11  -1.4 4.82e+00    -  6.64e-04 5.06e-02f  2
  83  1.0000000e+00 1.26e+00 6.23e+11  -1.4 3.11e+00    -  1.00e+00 9.12e-06h  2
  84  1.0000000e+00 1.25e+00 3.89e+11  -1.4 4.21e+00    -  1.13e-01 1.32e-02h  3
  85  1.0000000e+00 1.24e+00 1.36e+12  -1.4 5.92e+00    -  2.38e-04 1.44e-02f  2
  86  1.0000000e+00 1.24e+00 1.35e+12  -1.4 7.49e+00    -  4.01e-06 4.01e-06s  5
  87r 1.0000000e+00 1.24e+00 1.00e+03  -0.0 0.00e+00    -  0.00e+00 0.00e+00R  1
  88r 1.0000000e+00 3.46e+00 6.36e+03   1.3 3.29e+02    -  5.97e-03 1.66e-03f  1
  89r 1.0000000e+00 2.11e+00 2.33e+04   1.5 7.51e+01    -  1.54e-02 5.23e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 1.0000000e+00 1.67e+00 3.43e+05   1.6 5.43e+01    -  9.66e-01 8.63e-03f  1
  91r 1.0000000e+00 2.68e+00 6.90e+05   1.1 1.28e+00    -  7.00e-01 6.61e-01f  1
  92r 1.0000000e+00 4.24e+01 2.10e+10   1.8 1.97e+00    -  7.76e-01 1.00e+00f  1
  93r 1.0000000e+00 4.10e+01 3.56e+09   1.7 2.71e+00    -  8.60e-01 3.16e-02h  1
  94r 1.0000000e+00 2.83e+01 1.03e+12   1.7 1.37e+00    -  4.44e-01 3.14e-01f  1
  95r 1.0000000e+00 8.87e+01 9.84e+11   1.7 1.79e+00    -  2.87e-01 5.57e-01f  1
  96r 1.0000000e+00 4.52e+01 4.90e+10   1.7 4.80e+00    -  5.96e-01 9.99e-02F  1
  97r 1.0000000e+00 1.17e+02 6.56e+06   1.7 2.24e+00    -  1.00e+00 1.00e+00f  1
  98r 1.0000000e+00 4.04e+01 2.24e+06   1.7 1.40e+00    -  1.00e+00 1.00e+00f  1
  99r 1.0000000e+00 6.41e+01 4.85e+08   1.7 1.10e+00    -  1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 1.0000000e+00 1.41e+01 2.29e+08   1.7 1.20e+00    -  1.32e-01 1.35e-01H  1
 101r 1.0000000e+00 3.86e+01 8.01e+09   1.7 6.66e-01    -  1.44e-01 5.17e-02f  3
 102r 1.0000000e+00 3.49e+00 9.36e+09   1.7 2.29e+00    -  2.03e-01 2.66e-01h  1
 103r 1.0000000e+00 2.96e+00 3.95e+10   1.7 7.75e+00    -  2.61e-01 1.24e-02f  4
 104r 1.0000000e+00 1.35e+01 9.18e+10   1.7 3.28e+00  -2.0 7.41e-01 7.79e-03f  5
 105r 1.0000000e+00 3.63e+00 4.54e+06   1.7 1.42e+00    -  2.47e-01 4.86e-01h  1
 106r 1.0000000e+00 3.74e+00 4.59e+06   1.7 7.15e-01    -  1.38e-01 1.30e-01h  1
 107r 1.0000000e+00 3.96e+00 2.80e+06   1.7 1.64e+00    -  1.99e-01 2.00e-01h  1
 108r 1.0000000e+00 3.86e+00 6.19e+05   1.7 1.80e+00    -  2.12e-01 2.35e-01f  1
 109r 1.0000000e+00 4.10e+00 9.15e+05   1.7 9.90e-01    -  9.40e-01 4.21e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 1.0000000e+00 4.10e+00 1.44e+06   1.7 6.30e-01    -  2.79e-01 5.78e-01h  1
 111  1.0000000e+00 3.82e+00 4.40e+03  -1.4 8.42e+00    -  1.35e-01 3.01e-02f  1
 112  1.0000000e+00 7.39e+00 1.48e+05  -1.4 1.33e+01    -  1.30e-01 1.05e-01f  2
 113  1.0000000e+00 3.72e+00 2.87e+07  -1.4 1.54e+01    -  1.48e-01 9.63e-02h  2
 114  1.0000000e+00 3.71e+00 8.70e+08  -1.4 3.32e+00    -  3.39e-02 6.67e-04h  4
 115  1.0000000e+00 3.71e+00 3.91e+09  -1.4 3.39e+00    -  4.32e-01 6.10e-04h  4
 116  1.0000000e+00 3.71e+00 4.96e+09  -1.4 2.64e+00    -  3.23e-02 3.99e-04h  4
 117r 1.0000000e+00 3.71e+00 1.00e+03   0.1 0.00e+00    -  0.00e+00 3.59e-07R 14
